subject,DU time o,DU time r,DU time a,DU time n,DU time g,DU time shift,DU time E,DU time 2,DU time 0,DU time 1,DU time 9,DU time shift,DU time !,UD time o,UD time r,UD time a,UD time n,UD time g,UD time shift,UD time E,UD time 2,UD time 0,UD time 1,UD time 9,UD time shift,UD time !,3GRAM1,3GRAM2,3GRAM3,3GRAM4,3GRAM5,3GRAM6,3GRAM7,3GRAM8,3GRAM9,TOTAL TIME
sub00,0.113,0.143,0.115,0.139,0.099,0.468,0.104,0.103,0.13,0.123,0.105,0.3,0.163,0.183,0.102,0.169,0.151,0.186,0.103,0.313,0.11,0.098,0.086,0.166,0.147,0.964,0.918,1.327,1.044,1.17,1.125,0.981,0.755,1.008,0.796,3.419
sub00,0.126,0.115,0.139,0.119,0.087,0.26,0.107,0.111,0.123,0.115,0.091,0.204,0.122,0.035,0.153,0.091,0.245,0.128,0.075,0.299,0.066,0.048,0.064,0.157,0.098,0.708,0.949,1.069,0.871,0.917,0.891,0.869,0.618,0.802,0.655,2.762
sub00,0.101,0.119,0.131,0.123,0.095,0.252,0.103,0.107,0.139,0.119,0.107,0.216,0.135,0.143,0.077,0.087,0.085,0.155,0.103,0.233,0.089,0.085,0.079,0.156,0.071,0.781,0.717,0.92,0.71,0.842,0.82,0.883,0.725,0.901,0.741,2.762
sub02,0.057,0.059,0.119,0.075,0.067,0.388,0.076,0.151,0.095,0.16,0.079,0.58,0.143,0.339,0.136,0.24,0.434,0.295,0.075,0.388,0.175,0.214,0.248,0.604,0.143,1.025,1.13,1.618,1.26,1.29,1.198,1.259,1.122,1.924,1.671,4.904
sub03,0.07,0.122,0.151,0.078,0.147,0.323,0.106,0.09,0.083,0.15,0.079,0.328,0.162,0.013,0.106,0.083,0.018,0.641,0.106,0.201,0.184,0.052,0.001,0.299,0.159,0.623,0.705,1.405,1.207,1.402,0.881,0.902,0.639,0.992,0.86,3.222
sub03,0.049,0.031,0.131,0.087,0.135,0.352,0.115,0.082,0.087,0.171,0.079,0.272,0.163,0.134,0.289,0.032,0.017,0.604,0.115,0.167,0.172,0.046,0.023,0.257,0.147,0.753,0.722,1.322,1.195,1.34,0.86,0.876,0.614,0.889,0.772,3.187
sub03,0.054,0.055,0.151,0.113,0.115,0.32,0.103,0.079,0.079,0.155,0.067,0.304,0.166,0.177,0.184,0.02,0.002,0.582,0.103,0.157,0.684,0.085,0.009,0.266,0.166,0.754,0.636,1.259,1.128,1.253,1.319,1.382,1.158,0.949,0.801,3.654
sub04,0.065,0.112,0.128,0.118,0.114,0.204,0.107,0.102,0.092,0.087,0.086,0.124,0.09,0.05,0.076,0.088,0.2,0.196,0.107,0.166,0.008,0.013,0.014,0.115,0.078,0.637,0.836,1.04,0.832,0.782,0.572,0.583,0.402,0.531,0.438,2.17
sub04,0.137,0.115,0.127,0.107,0.059,0.207,0.087,0.103,0.091,0.091,0.087,0.128,0.055,0.031,0.019,0.025,0.018,0.252,0.087,0.151,0.009,0.009,0.017,0.113,0.055,0.499,0.47,0.779,0.643,0.772,0.561,0.557,0.407,0.476,0.436,1.834
sub05,0.085,0.1,0.119,0.08,0.082,0.232,0.079,0.128,0.087,0.095,0.071,0.416,0.087,0.113,0.219,0.074,0.158,0.201,0.079,0.364,0.035,0.013,0.009,0.17,0.087,0.79,0.832,0.914,0.753,1.007,0.846,0.833,0.438,0.785,0.761,2.851
sub05,0.093,0.107,0.135,0.079,0.063,0.252,0.07,0.137,0.096,0.107,0.067,0.401,0.083,0.058,0.214,0.026,0.199,0.155,0.07,0.254,0.065,0.001,0.009,0.153,0.083,0.712,0.823,0.852,0.748,0.861,0.804,0.785,0.48,0.763,0.737,2.669
sub05,0.09,0.09,0.12,0.087,0.087,0.184,0.074,0.11,0.092,0.111,0.071,0.363,0.086,0.057,0.156,0.018,0.178,0.109,0.074,0.332,0.037,0.012,0.006,0.161,0.086,0.618,0.736,0.766,0.645,0.822,0.755,0.785,0.439,0.768,0.712,2.471
