subject,DU time o,DU time r,DU time a,DU time n,DU time g,DU time shift,DU time E,DU time 2,DU time 0,DU time 1,DU time 9,DU time shift,DU time !,UD time o,UD time r,UD time a,UD time n,UD time g,UD time shift,UD time E,UD time 2,UD time 0,UD time 1,UD time 9,UD time shift,UD time !,3GRAM1,3GRAM2,3GRAM3,3GRAM4,3GRAM5,3GRAM6,3GRAM7,3GRAM8,3GRAM9,TOTAL TIME
sub00,0.037,0.111,0.139,0.13,0.091,0.239,0.115,0.114,0.126,0.127,0.091,0.212,0.123,-0.061,-0.093,-0.052,-0.04,-0.115,0.107,-0.307,-0.078,-0.03,-0.022,-0.129,0.115,0.623,0.656,0.806,0.623,0.874,0.872,0.897,0.588,0.737,0.589,2.36
sub00,0.127,0.119,0.147,0.127,0.091,0.284,0.127,0.115,0.123,0.119,0.103,0.208,0.135,-0.018,-0.142,-0.065,-0.156,-0.127,0.127,-0.351,-0.076,-0.065,-0.026,-0.129,0.099,0.745,0.847,0.973,0.785,0.968,0.949,1,0.627,0.773,0.621,2.754
sub00,0.133,0.119,0.135,0.134,0.088,0.307,0.119,0.111,0.127,0.123,0.103,0.271,0.148,-0.065,-0.114,-0.085,-0.171,-0.16,0.119,-0.309,-0.07,-0.076,-0.064,-0.183,0.123,0.785,0.846,1.073,0.86,0.975,0.924,0.942,0.674,0.947,0.769,2.973
sub00,0.131,0.119,0.127,0.147,0.098,0.376,0.113,0.119,0.132,0.114,0.107,0.239,0.126,-0.077,-0.074,-0.089,-0.089,-0.173,0.113,-0.278,-0.067,-0.058,-0.046,-0.138,0.098,0.764,0.743,1.094,0.883,1.044,0.972,0.886,0.643,0.834,0.672,2.826
sub00,0.113,0.143,0.115,0.139,0.099,0.468,0.104,0.103,0.13,0.123,0.105,0.3,0.163,-0.183,-0.102,-0.169,-0.151,-0.186,0.103,-0.313,-0.11,-0.098,-0.086,-0.166,0.147,0.964,0.918,1.327,1.044,1.17,1.125,0.981,0.755,1.008,0.796,3.419
sub00,0.137,0.119,0.118,0.131,0.087,0.444,0.11,0.107,0.131,0.131,0.115,0.228,0.134,-0.053,-0.132,-0.134,-0.136,-0.194,0.11,-0.235,-0.078,-0.037,-0.039,-0.144,0.103,0.824,0.857,1.228,0.992,1.067,0.995,0.845,0.638,0.825,0.688,2.961
sub00,0.137,0.122,0.118,0.159,0.107,0.288,0.118,0.119,0.135,0.128,0.095,0.256,0.143,-0.113,-0.082,-0.179,-0.124,-0.143,0.118,-0.324,-0.079,-0.052,-0.059,-0.158,0.111,0.91,0.891,1.106,0.821,0.981,0.945,0.967,0.667,0.883,0.728,3.009
sub00,0.132,0.103,0.146,0.147,0.107,0.364,0.107,0.121,0.135,0.131,0.107,0.244,0.139,-0.017,-0.156,-0.088,-0.068,-0.171,0.095,-0.309,-0.056,-0.024,-0.041,-0.162,0.099,0.789,0.815,1.091,0.869,1.084,0.997,0.883,0.615,0.844,0.725,2.881
sub00,0.121,0.131,0.155,0.144,0.099,0.352,0.111,0.115,0.123,0.131,0.122,0.223,0.13,-0.005,-0.129,-0.042,-0.07,-0.161,0.094,-0.27,-0.043,-0.023,-0.052,-0.147,0.09,0.727,0.77,1.023,0.843,1.014,0.92,0.816,0.609,0.821,0.715,2.715
sub00,0.016,0.134,0.183,0.132,0.09,0.27,0.106,0.11,0.134,0.128,0.098,0.272,0.135,-0.026,-0.108,-0.064,-0.306,-0.123,0.106,-0.238,-0.159,-0.049,-0.066,-0.157,0.135,0.663,1.017,1.132,0.921,0.831,0.911,0.96,0.744,0.9,0.721,2.863
